candidate_id,rank,score,reasoning
CAND_0096172,65,0.0645,Possesses adjacent system infrastructure capabilities with 5.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0027801,66,0.0642,Possesses adjacent system infrastructure capabilities with 7.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0009691,67,0.064,Possesses adjacent system infrastructure capabilities with 6.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0094759,68,0.0623,Possesses adjacent system infrastructure capabilities with 8.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0015578,69,0.062,Possesses adjacent system infrastructure capabilities with 5.4 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0049896,70,0.0619,Possesses adjacent system infrastructure capabilities with 7.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0052682,71,0.0618,Possesses adjacent system infrastructure capabilities with 6.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0040117,72,0.0614,Possesses adjacent system infrastructure capabilities with 6.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0075439,73,0.0603,Possesses adjacent system infrastructure capabilities with 4.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0041610,74,0.0592,Possesses adjacent system infrastructure capabilities with 6.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0076831,75,0.0583,Possesses adjacent system infrastructure capabilities with 4.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0018549,76,0.0582,Possesses adjacent system infrastructure capabilities with 6.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0060072,77,0.0567,Possesses adjacent system infrastructure capabilities with 5.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0006557,78,0.0564,Possesses adjacent system infrastructure capabilities with 7.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0050876,79,0.0564,Possesses adjacent system infrastructure capabilities with 6.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0012957,80,0.0561,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0065195,81,0.0553,Possesses adjacent system infrastructure capabilities with 5.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0098846,82,0.0553,Possesses adjacent system infrastructure capabilities with 7.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0037566,83,0.0543,Possesses adjacent system infrastructure capabilities with 6.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0074225,84,0.0532,Possesses adjacent system infrastructure capabilities with 4.3 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0064904,85,0.0531,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0061655,86,0.053,Possesses adjacent system infrastructure capabilities with 4.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0024466,87,0.0525,Possesses adjacent system infrastructure capabilities with 5.2 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0036437,88,0.0521,Possesses adjacent system infrastructure capabilities with 4.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0030031,89,0.0515,Possesses adjacent system infrastructure capabilities with 5.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0074735,90,0.0512,Possesses adjacent system infrastructure capabilities with 5.5 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0051004,91,0.0501,Possesses adjacent system infrastructure capabilities with 4.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0083879,92,0.0496,Possesses adjacent system infrastructure capabilities with 7.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0065878,93,0.0495,Possesses adjacent system infrastructure capabilities with 7.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0047721,94,0.0486,Possesses adjacent system infrastructure capabilities with 7.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0080766,95,0.0483,Possesses adjacent system infrastructure capabilities with 8.8 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0078042,96,0.0481,Possesses adjacent system infrastructure capabilities with 4.7 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0051615,97,0.047,Possesses adjacent system infrastructure capabilities with 4.6 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0004402,98,0.0466,Possesses adjacent system infrastructure capabilities with 6.0 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0037944,99,0.0464,Possesses adjacent system infrastructure capabilities with 4.9 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
CAND_0043860,100,0.046,Possesses adjacent system infrastructure capabilities with 6.1 years of history. Lower placement due to minor domain experience gaps or moderate behavioral response signals.
